mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__alpha,param_estimator__early_stopping,param_estimator__eta0,param_estimator__learning_rate,param_estimator__max_iter,param_estimator__penalty,param_estimator__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.947608470916748,0.11246729729099834,0.028392648696899413,0.0008029651410214647,0.001,False,0.001,constant,1500,l1,0.001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1500, 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.66625,0.673125,0.6325,0.64,0.64875,0.6521250000000001,0.015388713396512396,1
6.038303804397583,0.14560542156227918,0.030601978302001953,0.0025768414723971117,0.001,False,0.001,constant,1000,l1,0.001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.66625,0.673125,0.6325,0.64,0.64875,0.6521250000000001,0.015388713396512396,1
6.183196544647217,0.1583767340878349,0.031804227828979494,0.0013254180488380494,0.001,False,0.001,constant,2000,l1,0.001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 2000, 'estimator__penalty': 'l1', 'estimator__tol': 0.001}",0.66625,0.673125,0.6325,0.64,0.64875,0.6521250000000001,0.015388713396512396,1
12.983929300308228,0.925894410007066,0.030403661727905273,0.0014952472112864383,0.001,False,0.001,constant,1000,l1,0.0001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.625,0.6525,0.630625,0.66625,0.660625,0.647,0.016362113249821984,4
12.827105283737183,0.9137994887414094,0.028803205490112303,0.0011654287092243724,0.001,False,0.001,constant,1500,l1,0.0001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1500, 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.625,0.6525,0.630625,0.66625,0.660625,0.647,0.016362113249821984,4
12.610449743270873,0.9318783994277925,0.034206724166870116,0.0064292655704893216,0.001,False,0.001,constant,2000,l1,0.0001,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 2000, 'estimator__penalty': 'l1', 'estimator__tol': 0.0001}",0.625,0.6525,0.630625,0.66625,0.660625,0.647,0.016362113249821984,4
4.58799524307251,0.1006494411304515,0.027803421020507812,0.0003995914447802687,0.001,False,0.001,constant,1000,l1,0.01,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1000, 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.64625,0.6625,0.651875,0.6425,0.626875,0.646,0.011703364900745436,7
4.618199157714844,0.04377527735801758,0.02940211296081543,0.0011990004359344589,0.001,False,0.001,constant,1500,l1,0.01,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 1500, 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.64625,0.6625,0.651875,0.6425,0.626875,0.646,0.011703364900745436,7
4.647543954849243,0.12222347418066491,0.02839188575744629,0.0004976306577415052,0.001,False,0.001,constant,2000,l1,0.01,"{'estimator__alpha': 0.001, 'estimator__early_stopping': False, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 2000, 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.64625,0.6625,0.651875,0.6425,0.626875,0.646,0.011703364900745436,7
7.898603439331055,0.5615205347968718,0.029799604415893556,0.00263828726880755,0.001,True,0.001,constant,2000,l1,0.01,"{'estimator__alpha': 0.001, 'estimator__early_stopping': True, 'estimator__eta0': 0.001, 'estimator__learning_rate': 'constant', 'estimator__max_iter': 2000, 'estimator__penalty': 'l1', 'estimator__tol': 0.01}",0.650625,0.665,0.6225,0.639375,0.630625,0.641625,0.014961408690360676,10
